id,item_id,img,price,shipping
5c1e5f1421f69,312358565660,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.44,$43.55
5c1e5f1424d6e,312359858453,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.44,$51.31
5c1e5f1427c78,312365435449,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.44,$43.55
5c1e5f142ada5,312348810036,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.45,$43.55
5c1e5f142dccf,142999332816,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.45,$35.05
5c1e5f1430d2a,312387628183,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.50,$39.65
5c1e5f1433bf7,401059099228,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.69,$13.75
5c1e5f1436c54,312345292085,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.85,$43.57
5c1e5f1439d98,312339473750,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.94,$51.34
5c1e5f143cf85,312340948262,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.94,$43.58
5c1e5f14401ce,312355940889,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.94,$51.34
5c1e5f1443399,282123340497,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.95,$49.75
5c1e5f1446a30,332436785534,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.99,$49.75
5c1e5f144a241,352534347818,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.99,$15.00
5c1e5f144d413,331945494593,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.99,$49.75
5c1e5f1450536,253568431032,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.99,$69.36
5c1e5f145393b,282155602825,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.99,$35.08
5c1e5f1456de1,272997869479,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$11.99,"Free International Shipping"
5c1e5f145a4fc,312353099913,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.07,$43.58
5c1e5f145d95a,123050591853,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.11,$95.45
5c1e5f1460d35,301859581747,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.13,$13.75
5c1e5f146417d,401133958117,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.19,$13.75
5c1e5f1467775,290860851537,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.19,$23.00
5c1e5f146ac16,401066019181,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.19,$13.75
5c1e5f146e0d6,312383608675,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.23,$43.59
5c1e5f1471690,312385213514,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.23,$43.59
5c1e5f1474e22,332879904116,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.33,""""""
5c1e5f147860c,183078805292,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.38,$23.00
5c1e5f147bc49,312351921071,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.39,$47.35
5c1e5f147f2da,312336347373,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.47,$43.60
5c1e5f1482a8f,312337673245,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.47,$43.60
5c1e5f14863a5,312353341135,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.55,$47.35
5c1e5f1489a9b,182609988728,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.60,$39.00
5c1e5f148d0d6,312334514577,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.80,$43.61
5c1e5f149086c,312334553745,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.80,$43.61
5c1e5f149417a,312332839790,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.81,$47.37
5c1e5f14979c7,162910010037,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.88,$23.00
5c1e5f149b36e,232001139182,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.89,""""""
5c1e5f149eb60,142715618948,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.90,$1.90
5c1e5f14a24d1,173604425266,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.95,$35.16
5c1e5f14a5dd1,191993042806,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.95,$34.16
5c1e5f14a9be2,352481255081,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.95,$35.12
5c1e5f14ad6a3,281928918864,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.99,""""""
5c1e5f14b105c,223201498192,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.99,$12.95
5c1e5f14b4b6c,332604069067,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.99,$49.75
5c1e5f14b8788,291175143458,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.99,$13.75
5c1e5f14bc312,253797287197,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.99,""""""
5c1e5f14bfea2,231728642585,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.99,$49.75
5c1e5f14c3b6d,221704213176,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.99,$12.95
5c1e5f14c78a3,332803220595,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$12.99,$49.75
5c1e5f14cb584,312346902390,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$13.03,$43.62
5c1e5f14cf5bc,312393529345,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$13.23,$47.38
5c1e5f14d33d8,151775514103,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$13.29,$4.49
5c1e5f14d738c,162905622563,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$13.37,$23.00
5c1e5f14db10e,162905623809,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$13.37,$23.00
5c1e5f14dee8f,291115435341,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$13.49,$13.75
5c1e5f14e2dc7,290994595474,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$13.49,$13.75
5c1e5f14e6e03,291190985147,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$13.49,$23.00
5c1e5f14ead13,291165326604,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$13.79,$13.75
5c1e5f14eebb3,283205577946,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$13.85,$31.25
5c1e5f14f2acf,253090113730,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$13.90,$10.92
5c1e5f1502a53,181939457894,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$13.95,$42.93
5c1e5f1506f3e,312362125294,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$13.97,$43.67
5c1e5f150b082,182642462586,https://ir.ebaystatic.com/cr/v/c1/s_1x2.gif,$13.97,$29.00
